contrast_id	gene_id	gene_key	baseline_expression	spread_i	n_methods	gene_name	gene_start	gene_end	gene_length_bp	length_source	log10_gene_length	baseline_rank_pct	baseline_bin	head_indicator	time_bin
DT_vs_D_24h	ENSG00000002549_LAP3	ENSG00000002549	5.797229759557921	0.3903181438540029	6	LAP3	17577167	17608089	30923	GTF gene span	4.490281620441758	0.760020974131904	Non-head	0	Late
DT_vs_D_24h	ENSG00000002586_CD99	ENSG00000002586	6.516395783215334	0.36923701109430074	6	CD99	2690988	2741312	50325	GTF gene span	4.701783783560692	0.8642507573992076	Non-head	0	Late
DT_vs_D_24h	ENSG00000002587_HS3ST1	ENSG00000002587	0.8636783046305403	0.05347419014356261	6	HS3ST1	11393150	11429564	36415	GTF gene span	4.561280314290289	0.28082032160335585	Non-head	0	Late
DT_vs_D_24h	ENSG00000002726_AOC1	ENSG00000002726	-2.6918419538531904	0.3256219044084939	6	AOC1	150824627	150872465	47839	GTF gene span	4.679782092823561	0.05936844558378	Non-head	0	Late
DT_vs_D_24h	ENSG00000002822_MAD1L1	ENSG00000002822	4.156412060363192	0.2754689430919679	6	MAD1L1	1815787	2233243	417457	GTF gene span	5.620611747784945	0.5111279422046143	Non-head	0	Late
DT_vs_D_24h	ENSG00000002834_LASP1	ENSG00000002834	8.132396471192422	0.3457046027494297	6	LASP1	38869185	38921771	52587	GTF gene span	4.720878395749592	0.9719762293171755	Head	1	Late
DT_vs_D_24h	ENSG00000002919_SNX11	ENSG00000002919	3.480941599051945	0.07777928013499891	6	SNX11	48103357	48128226	24870	GTF gene span	4.395675785269936	0.4374854346306222	Non-head	0	Late
DT_vs_D_24h	ENSG00000003056_M6PR	ENSG00000003056	6.664453161150462	0.14515020435250192	6	M6PR	8940358	8951856	11499	GTF gene span	4.060660073974015	0.8819039850850617	Non-head	0	Late
DT_vs_D_24h	ENSG00000003137_CYP26B1	ENSG00000003137	1.773141896879889	0.19151069379113195	6	CYP26B1	72129238	72148430	19193	GTF gene span	4.283142863303242	0.3280703798648334	Non-head	0	Late
DT_vs_D_24h	ENSG00000003147_ICA1	ENSG00000003147	5.439969738298787	0.0781655278207779	6	ICA1	8113181	8262693	149513	GTF gene span	5.174678955756155	0.7029247261710557	Non-head	0	Late
DT_vs_D_24h	ENSG00000003249_DBNDD1	ENSG00000003249	5.683697954274219	0.14270878036888546	6	DBNDD1	90004648	90019890	15243	GTF gene span	4.183070449629958	0.7420181775809834	Non-head	0	Late
DT_vs_D_24h	ENSG00000003393_ALS2	ENSG00000003393	5.334942568848962	0.36433945783323896	6	ALS2	201700267	201782112	81846	GTF gene span	4.912997459308414	0.6848636681426241	Non-head	0	Late
DT_vs_D_24h	ENSG00000003400_CASP10	ENSG00000003400	3.740218261141366	0.06586111200903669	6	CASP10	201182693	201229428	46736	GTF gene span	4.669651539629474	0.462363085527849	Non-head	0	Late
DT_vs_D_24h	ENSG00000003402_CFLAR	ENSG00000003402	7.627326668268712	0.6146906551913613	6	CFLAR	201116005	201176687	60683	GTF gene span	4.78306704296571	0.9535656024236775	Head	1	Late
DT_vs_D_24h	ENSG00000003436_TFPI	ENSG00000003436	7.467096496031875	0.16420560426235653	6	TFPI	187463823	187565846	102024	GTF gene span	5.008702346678729	0.9460498718247494	Head	1	Late
DT_vs_D_24h	ENSG00000003509_NDUFAF7	ENSG00000003509	4.240647557784467	0.2101590883589397	6	NDUFAF7	37231628	37271420	39793	GTF gene span	4.599806681904171	0.5216150081566069	Non-head	0	Late
DT_vs_D_24h	ENSG00000003756_RBM5	ENSG00000003756	6.8497537753745625	0.6929371930375878	6	RBM5	50088898	50119021	30124	GTF gene span	4.478912638929306	0.9007807037986484	Head	1	Late
DT_vs_D_24h	ENSG00000003989_SLC7A2	ENSG00000003989	5.373159197776747	0.7349136338274747	6	SLC7A2	17496975	17570573	73599	GTF gene span	4.866871913557168	0.6919133069214636	Non-head	0	Late
DT_vs_D_24h	ENSG00000004059_ARF5	ENSG00000004059	6.225171895059946	0.11111184972396915	6	ARF5	127588359	127591705	3347	GTF gene span	3.5246557123577773	0.8248659986017245	Non-head	0	Late
DT_vs_D_24h	ENSG00000004139_SARM1	ENSG00000004139	1.4432484692149217	0.4676686776717729	6	SARM1	28364356	28404049	39694	GTF gene span	4.598724865357054	0.3103588907014682	Non-head	0	Late
DT_vs_D_24h	ENSG00000004142_POLDIP2	ENSG00000004142	6.674089810759876	0.047361389506171525	6	POLDIP2	28343133	28357623	14491	GTF gene span	4.161098356450925	0.8830109531577721	Non-head	0	Late
DT_vs_D_24h	ENSG00000004399_PLXND1	ENSG00000004399	1.619163322349365	0.10074161523672531	6	PLXND1	129555213	129606826	51614	GTF gene span	4.712767517481338	0.31944768119319505	Non-head	0	Late
DT_vs_D_24h	ENSG00000004455_AK2	ENSG00000004455	7.627989123246781	0.31964681154147667	6	AK2	33006560	33080996	74437	GTF gene span	4.8717888616416944	0.9536238639011886	Head	1	Late
DT_vs_D_24h	ENSG00000004478_FKBP4	ENSG00000004478	7.990955542148223	0.12010590132208565	6	FKBP4	2794290	2806410	12121	GTF gene span	4.083538451230139	0.9680144488464227	Head	1	Late
DT_vs_D_24h	ENSG00000004487_KDM1A	ENSG00000004487	6.26006736720432	0.06138068515869821	6	KDM1A	23019395	23083704	64310	GTF gene span	4.808278509582768	0.8297017012351433	Non-head	0	Late
DT_vs_D_24h	ENSG00000004534_RBM6	ENSG00000004534	5.946545528987059	0.147003537306845	6	RBM6	49940007	50100045	160039	GTF gene span	5.204225829036385	0.7822185970636215	Non-head	0	Late
DT_vs_D_24h	ENSG00000004660_CAMKK1	ENSG00000004660	4.884319645829702	0.3722259509091085	6	CAMKK1	3860315	3894891	34577	GTF gene span	4.53878730993371	0.6136098811465859	Non-head	0	Late
DT_vs_D_24h	ENSG00000004700_RECQL	ENSG00000004700	4.927925330684557	0.11644401993292308	6	RECQL	21464720	21501669	36950	GTF gene span	4.567614442730845	0.6208343043579585	Non-head	0	Late
DT_vs_D_24h	ENSG00000004766_VPS50	ENSG00000004766	4.885464897000846	0.0665001448821943	6	VPS50	93232340	93361123	128784	GTF gene span	5.109861910047527	0.6139594500116523	Non-head	0	Late
DT_vs_D_24h	ENSG00000004777_ARHGAP33	ENSG00000004777	2.606337769020488	0.43861111277310827	6	ARHGAP33	35774532	35788822	14291	GTF gene span	4.155062619223921	0.3733395478909345	Non-head	0	Late
DT_vs_D_24h	ENSG00000004779_NDUFAB1	ENSG00000004779	5.537762472439222	0.4711327100899032	6	NDUFAB1	23580952	23596328	15377	GTF gene span	4.186871614364535	0.7188301095315777	Non-head	0	Late
DT_vs_D_24h	ENSG00000004799_PDK4	ENSG00000004799	7.279938754711768	0.4316787888872866	6	PDK4	95583497	95597638	14142	GTF gene span	4.150510832907967	0.9341062689349802	Head	1	Late
DT_vs_D_24h	ENSG00000004838_ZMYND10	ENSG00000004838	-1.0542536098206718	0.27197093424339464	6	ZMYND10	50341110	50345746	4637	GTF gene span	3.6662370958958044	0.1706478676299231	Non-head	0	Late
DT_vs_D_24h	ENSG00000004864_SLC25A13	ENSG00000004864	4.80721468029742	0.5447623016728174	6	SLC25A13	96120218	96322181	201964	GTF gene span	5.305273963532286	0.602015847121883	Non-head	0	Late
DT_vs_D_24h	ENSG00000004866_ST7	ENSG00000004866	4.020743716532424	0.30160458944168045	6	ST7	116952980	117230812	277833	GTF gene span	5.4437838283948805	0.4938825448613377	Non-head	0	Late
DT_vs_D_24h	ENSG00000004897_CDC27	ENSG00000004897	6.732828005219327	0.08207293147141981	6	CDC27	47117703	47189422	71720	GTF gene span	4.855640280890145	0.8890118853414123	Non-head	0	Late
DT_vs_D_24h	ENSG00000004961_HCCS	ENSG00000004961	4.450025525139856	0.07076194141979486	6	HCCS	11111299	11123086	11788	GTF gene span	4.071440127177888	0.5489979025868096	Non-head	0	Late
DT_vs_D_24h	ENSG00000004975_DVL2	ENSG00000004975	5.272301044987509	0.16757995558272964	6	DVL2	7225338	7234538	9201	GTF gene span	3.963835030702148	0.6748426940107201	Non-head	0	Late
DT_vs_D_24h	ENSG00000005001_PRSS22	ENSG00000005001	4.128872285042821	0.09737983108560977	6	PRSS22	2852728	2858677	5950	GTF gene span	3.7745169657285498	0.5069913773013284	Non-head	0	Late
DT_vs_D_24h	ENSG00000005007_UPF1	ENSG00000005007	7.3084333274537405	0.24377998098417253	6	UPF1	18831905	18868232	36328	GTF gene span	4.560241488892911	0.9357958517828012	Head	1	Late
DT_vs_D_24h	ENSG00000005020_SKAP2	ENSG00000005020	6.293429464552147	0.7017275217602954	6	SKAP2	26667003	26995239	328237	GTF gene span	5.516187534639457	0.8339547890934514	Non-head	0	Late
DT_vs_D_24h	ENSG00000005022_SLC25A5	ENSG00000005022	8.487413331012705	1.1668174522614536	6	SLC25A5	119468395	119472949	4555	GTF gene span	3.658488381309017	0.9800745746912142	Head	1	Late
DT_vs_D_24h	ENSG00000005059_MCUB	ENSG00000005059	4.178706475461493	0.123052867500828	6	MCUB	109560209	109688799	128591	GTF gene span	5.109210573665063	0.5135166627825681	Non-head	0	Late
DT_vs_D_24h	ENSG00000005073_HOXA11	ENSG00000005073	-1.7945683711520195	0.1864182033500347	6	HOXA11	27181157	27185253	4097	GTF gene span	3.6124659639531425	0.12135865765555814	Non-head	0	Late
DT_vs_D_24h	ENSG00000005075_POLR2J	ENSG00000005075	4.452621601251579	0.25713545595979936	6	POLR2J	102473110	102478936	5827	GTF gene span	3.76544501809015	0.5494057329293871	Non-head	0	Late
DT_vs_D_24h	ENSG00000005100_DHX33	ENSG00000005100	6.105587397511616	0.0837868171959616	6	DHX33	5440917	5469031	28115	GTF gene span	4.448938087845422	0.8075623397809368	Non-head	0	Late
DT_vs_D_24h	ENSG00000005156_LIG3	ENSG00000005156	5.85132364695518	0.08799114544340836	6	LIG3	34980462	35009743	29282	GTF gene span	4.466600736296881	0.768352365415987	Non-head	0	Late
DT_vs_D_24h	ENSG00000005175_RPAP3	ENSG00000005175	4.817699202113989	0.1780820312967767	6	RPAP3	47660814	47706038	45225	GTF gene span	4.655378575531851	0.6035306455371708	Non-head	0	Late
DT_vs_D_24h	ENSG00000005187_ACSM3	ENSG00000005187	1.5131895417554009	0.24526168998787068	6	ACSM3	20610243	20797843	187601	GTF gene span	5.2732351490394445	0.31391284082964344	Non-head	0	Late
DT_vs_D_24h	ENSG00000005189_REXO5	ENSG00000005189	2.1078784112872224	0.10941080315211585	6	REXO5	20806157	20850126	43970	GTF gene span	4.643156465619707	0.3467140526683757	Non-head	0	Late
DT_vs_D_24h	ENSG00000005194_CIAPIN1	ENSG00000005194	5.093113614356279	0.06930886844712658	6	CIAPIN1	57428169	57447420	19252	GTF gene span	4.284475853005321	0.6470519692379398	Non-head	0	Late
DT_vs_D_24h	ENSG00000005206_SPPL2B	ENSG00000005206	5.064748547148316	0.36702715297937205	6	SPPL2B	2328346	2355100	26755	GTF gene span	4.427404955310274	0.6426240969470985	Non-head	0	Late
DT_vs_D_24h	ENSG00000005238_FAM214B	ENSG00000005238	3.4559846430807744	0.12472504239234639	6	ATOSB	35104112	35116357	12246	GTF gene span	4.087994255099714	0.43515497553017946	Non-head	0	Late
DT_vs_D_24h	ENSG00000005243_COPZ2	ENSG00000005243	-0.34376110114519026	0.0773526283770561	6	COPZ2	48026142	48038030	11889	GTF gene span	4.0751453270538525	0.21626660452109064	Non-head	0	Late
DT_vs_D_24h	ENSG00000005249_PRKAR2B	ENSG00000005249	0.8178581622244345	0.9073984533752437	6	PRKAR2B	107044627	107161811	117185	GTF gene span	5.068872024360038	0.27819855511535774	Non-head	0	Late
DT_vs_D_24h	ENSG00000005302_MSL3	ENSG00000005302	4.939471913098725	0.3845156086292512	6	MSL3	11757788	11776782	18995	GTF gene span	4.278639297890739	0.6229317175483571	Non-head	0	Late
DT_vs_D_24h	ENSG00000005339_CREBBP	ENSG00000005339	7.313560548486352	0.2563277722762928	6	CREBBP	3725054	3880734	155681	GTF gene span	5.192235612576686	0.9359123747378234	Head	1	Late
DT_vs_D_24h	ENSG00000005379_TSPOAP1	ENSG00000005379	-1.117761279309918	0.4761843282679762	6	TSPOAP1	58301228	58328823	27596	GTF gene span	4.440846136274557	0.16645304124912608	Non-head	0	Late
DT_vs_D_24h	ENSG00000005436_GCFC2	ENSG00000005436	4.871057670714098	0.6680429322035081	6	GCFC2	75652000	75711184	59185	GTF gene span	4.772211651948018	0.6115124679561874	Non-head	0	Late
DT_vs_D_24h	ENSG00000005448_WDR54	ENSG00000005448	1.7296049254964891	0.26439093369351163	6	WDR54	74421477	74425770	4294	GTF gene span	3.63286204010023	0.32585644371941275	Non-head	0	Late
DT_vs_D_24h	ENSG00000005469_CROT	ENSG00000005469	2.9478545164573298	0.04392622626955417	6	CROT	87317127	87399800	82674	GTF gene span	4.9173689505212295	0.3954206478676299	Non-head	0	Late
DT_vs_D_24h	ENSG00000005483_KMT2E	ENSG00000005483	6.673124363418775	0.08326613829817851	6	KMT2E	104940943	105116242	175300	GTF gene span	5.243781916093795	0.882952691680261	Non-head	0	Late
DT_vs_D_24h	ENSG00000005486_RHBDD2	ENSG00000005486	4.465252020654036	0.5111892700290263	6	RHBDD2	75842602	75890056	47455	GTF gene span	4.676281977732945	0.5513866231647635	Non-head	0	Late
DT_vs_D_24h	ENSG00000005700_IBTK	ENSG00000005700	6.543746310723948	0.13020634712224255	6	IBTK	82169984	82247776	77793	GTF gene span	4.890940519892707	0.8690281985551154	Non-head	0	Late
DT_vs_D_24h	ENSG00000005801_ZNF195	ENSG00000005801	5.306328499658923	0.08096840634785718	6	ZNF195	3339261	3379222	39962	GTF gene span	4.601647215470563	0.6800279655092053	Non-head	0	Late
DT_vs_D_24h	ENSG00000005810_MYCBP2	ENSG00000005810	7.5319205202339266	0.10990132206101988	6	MYCBP2	77042474	77327105	284632	GTF gene span	5.454283724427734	0.9495455604754136	Head	1	Late
DT_vs_D_24h	ENSG00000005812_FBXL3	ENSG00000005812	5.562930205335691	0.4692606226195799	6	FBXL3	76992598	77027211	34614	GTF gene span	4.539251789341786	0.7229666744348636	Non-head	0	Late
DT_vs_D_24h	ENSG00000005882_PDK2	ENSG00000005882	4.132869236256066	0.3265919747221814	6	PDK2	50094737	50120276	25540	GTF gene span	4.407220892927397	0.5078652994639944	Non-head	0	Late
DT_vs_D_24h	ENSG00000005884_ITGA3	ENSG00000005884	8.198116944635922	0.5901136157547284	6	ITGA3	50055968	50090933	34966	GTF gene span	4.543645953233247	0.9743066884176182	Head	1	Late
DT_vs_D_24h	ENSG00000005889_ZFX	ENSG00000005889	6.151950439232719	0.15114511341303505	6	ZFX	24148970	24216255	67286	GTF gene span	4.827924711248651	0.8148450244698205	Non-head	0	Late
DT_vs_D_24h	ENSG00000005893_LAMP2	ENSG00000005893	6.785177664279711	0.01867442923800189	6	LAMP2	120426148	120469365	43218	GTF gene span	4.635664665160333	0.8947215101374971	Non-head	0	Late
DT_vs_D_24h	ENSG00000005961_ITGA2B	ENSG00000005961	-1.692066092130886	0.3781182738086605	6	ITGA2B	44372177	44389649	17473	GTF gene span	4.242367476911438	0.12928221859706363	Non-head	0	Late
DT_vs_D_24h	ENSG00000005981_ASB4	ENSG00000005981	-2.677605130502627	0.10006241717287631	6	ASB4	95478444	95540233	61790	GTF gene span	4.790918195214578	0.06018410626893498	Non-head	0	Late
DT_vs_D_24h	ENSG00000006007_GDE1	ENSG00000006007	6.424686542602773	0.8234482540034123	6	GDE1	19501681	19522132	20452	GTF gene span	4.3107357840545	0.8523654159869495	Non-head	0	Late
DT_vs_D_24h	ENSG00000006015_REX1BD	ENSG00000006015	4.245144908907887	0.21529009700562418	6	REX1BD	18588685	18592342	3658	GTF gene span	3.563243701140398	0.5221976229317176	Non-head	0	Late
DT_vs_D_24h	ENSG00000006025_OSBPL7	ENSG00000006025	5.135604497293872	1.17950861420056	6	OSBPL7	47807363	47821890	14528	GTF gene span	4.16220583117701	0.6543346539268236	Non-head	0	Late
DT_vs_D_24h	ENSG00000006042_TMEM98	ENSG00000006042	2.251984366449058	0.2933547859849672	6	TMEM98	32917424	32945259	27836	GTF gene span	4.444606827822978	0.3541715217897926	Non-head	0	Late
DT_vs_D_24h	ENSG00000006047_YBX2	ENSG00000006047	2.874302696872043	0.420520496249396	6	YBX2	7288253	7294750	6498	GTF gene span	3.812779707008964	0.3912258214868329	Non-head	0	Late
DT_vs_D_24h	ENSG00000006062_MAP3K14	ENSG00000006062	4.199698259892299	0.15364607150626908	6	MAP3K14	45263119	45317112	53994	GTF gene span	4.7323455021995064	0.5167793055231881	Non-head	0	Late
DT_vs_D_24h	ENSG00000006118_TMEM132A	ENSG00000006118	5.823839562322633	0.14249452557906994	6	TMEM132A	60924453	60937159	12707	GTF gene span	4.104043029922009	0.7642740619902121	Non-head	0	Late
DT_vs_D_24h	ENSG00000006125_AP2B1	ENSG00000006125	8.637723583092182	0.7115752554683392	6	AP2B1	35578046	35726417	148372	GTF gene span	5.171351950856549	0.9830459100442788	Head	1	Late
DT_vs_D_24h	ENSG00000006194_ZNF263	ENSG00000006194	4.920024363237335	0.3338776572436436	6	ZNF263	3263800	3301705	37906	GTF gene span	4.578707958270234	0.619552551852715	Non-head	0	Late
DT_vs_D_24h	ENSG00000006210_CX3CL1	ENSG00000006210	-1.6303259098511065	0.21153478608827342	6	CX3CL1	57372457	57385044	12588	GTF gene span	4.099956734241183	0.1327779072477278	Non-head	0	Late
DT_vs_D_24h	ENSG00000006282_SPATA20	ENSG00000006282	4.001252522852926	0.4949778347936271	6	SPATA20	50543058	50558366	15309	GTF gene span	4.184946823051894	0.49219296201351664	Non-head	0	Late
DT_vs_D_24h	ENSG00000006327_TNFRSF12A	ENSG00000006327	5.286479588560921	0.19451628465993143	6	TNFRSF12A	3018445	3022385	3941	GTF gene span	3.595606434865603	0.6773479375436962	Non-head	0	Late
DT_vs_D_24h	ENSG00000006432_MAP3K9	ENSG00000006432	5.995763618268068	0.27569669992625334	6	MAP3K9	70722526	70809566	87041	GTF gene span	4.939723871921972	0.7897925891400606	Non-head	0	Late
DT_vs_D_24h	ENSG00000006451_RALA	ENSG00000006451	5.973647451763246	0.3954287912203531	6	RALA	39623445	39708217	84773	GTF gene span	4.928257552514296	0.7863551619669075	Non-head	0	Late
DT_vs_D_24h	ENSG00000006453_BAIAP2L1	ENSG00000006453	5.869199023177826	0.33465706981032595	6	BAIAP2L1	98290827	98401213	110387	GTF gene span	5.042917930633224	0.7711489163365183	Non-head	0	Late
DT_vs_D_24h	ENSG00000006459_KDM7A	ENSG00000006459	4.691714245030464	0.0658846763796963	6	KDM7A	140084746	140177678	92933	GTF gene span	4.968169956975819	0.5837217431834071	Non-head	0	Late
DT_vs_D_24h	ENSG00000006468_ETV1	ENSG00000006468	-2.1022513205037927	0.17829703891163917	6	ETV1	13891229	13991425	100197	GTF gene span	5.00085471850777	0.10015147984152878	Non-head	0	Late
DT_vs_D_24h	ENSG00000006530_AGK	ENSG00000006530	4.868180747761795	0.36411451249194865	6	AGK	141551278	141657486	106209	GTF gene span	5.026161319803131	0.611162899091121	Non-head	0	Late
DT_vs_D_24h	ENSG00000006534_ALDH3B1	ENSG00000006534	6.792694361477622	0.042630839852003666	6	ALDH3B1	68008543	68029282	20740	GTF gene span	4.3168087520530225	0.895478909345141	Non-head	0	Late
DT_vs_D_24h	ENSG00000006555_TTC22	ENSG00000006555	4.682613240133843	0.13411722141811852	6	TTC22	54779712	54801508	21797	GTF gene span	4.3383967241962615	0.5823234677231415	Non-head	0	Late
DT_vs_D_24h	ENSG00000006576_PHTF2	ENSG00000006576	4.727586501078266	0.2570476132373988	6	PHTF2	77798652	77957503	158852	GTF gene span	5.200992687110889	0.5897226753670473	Non-head	0	Late
DT_vs_D_24h	ENSG00000006607_FARP2	ENSG00000006607	5.533744017490827	0.40669544406826946	6	FARP2	241356244	241494847	138604	GTF gene span	5.14177576384621	0.718189233278956	Non-head	0	Late
DT_vs_D_24h	ENSG00000006625_GGCT	ENSG00000006625	5.842655345921889	0.40869279957519655	6	GGCT	30496616	30504866	8251	GTF gene span	3.9165065871151556	0.7670706129107434	Non-head	0	Late
DT_vs_D_24h	ENSG00000006634_DBF4	ENSG00000006634	5.198357299137778	0.2881513303915112	6	DBF4	87876216	87909553	33338	GTF gene span	4.522939542252115	0.6642391051037054	Non-head	0	Late
DT_vs_D_24h	ENSG00000006652_IFRD1	ENSG00000006652	5.778942825351233	0.18595474934053213	6	IFRD1	112422887	112481017	58131	GTF gene span	4.764407793982475	0.756700069913773	Non-head	0	Late
DT_vs_D_24h	ENSG00000006695_COX10	ENSG00000006695	5.213863822527628	0.06671481858574477	6	COX10	14069490	14231736	162247	GTF gene span	5.2101766752998895	0.666394779771615	Non-head	0	Late
DT_vs_D_24h	ENSG00000006704_GTF2IRD1	ENSG00000006704	6.509419388964725	0.40726824042456933	6	GTF2IRD1	74452463	74602619	150157	GTF gene span	5.176545582892054	0.8632020508040084	Non-head	0	Late
DT_vs_D_24h	ENSG00000006712_PAF1	ENSG00000006712	4.955456571048921	0.33254894516797606	6	PAF1	39385629	39391154	5526	GTF gene span	3.7424108805804925	0.625378699603822	Non-head	0	Late
DT_vs_D_24h	ENSG00000006715_VPS41	ENSG00000006715	5.619537135828358	0.035032157705744416	6	VPS41	38722221	38932394	210174	GTF gene span	5.322578989737279	0.731647634584013	Non-head	0	Late
DT_vs_D_24h	ENSG00000006744_ELAC2	ENSG00000006744	6.846287835165512	0.34840049539746465	6	ELAC2	12991268	13018065	26798	GTF gene span	4.428102382783436	0.9003728734560709	Head	1	Late
DT_vs_D_24h	ENSG00000006747_SCIN	ENSG00000006747	0.6969738354536714	0.04587037906445227	6	SCIN	12570577	12660182	89606	GTF gene span	4.952337090908204	0.2711489163365183	Non-head	0	Late
DT_vs_D_24h	ENSG00000006756_ARSD	ENSG00000006756	2.936852173778467	0.030047810086312333	6	ARSD	2903972	2929405	25434	GTF gene span	4.405414666951865	0.3944884642274528	Non-head	0	Late
DT_vs_D_24h	ENSG00000006757_PNPLA4	ENSG00000006757	3.6425809455706974	0.13025027065801498	6	PNPLA4	7898247	7927739	29493	GTF gene span	4.469718950821701	0.45222558844092287	Non-head	0	Late
DT_vs_D_24h	ENSG00000006831_ADIPOR2	ENSG00000006831	6.2594117649261385	0.11480004941645161	6	ADIPOR2	1688574	1788683	100110	GTF gene span	5.000477461374455	0.8295851782801212	Non-head	0	Late
DT_vs_D_24h	ENSG00000006837_CDKL3	ENSG00000006837	-0.24371197517660637	0.08693877314120282	6	CDKL3	134286350	134371047	84698	GTF gene span	4.92787315532222	0.22255884409228618	Non-head	0	Late
DT_vs_D_24h	ENSG00000007038_PRSS21	ENSG00000007038	4.107320331408173	0.077733917097181	6	PRSS21	2817130	2826304	9175	GTF gene span	3.962606072924127	0.5040783034257749	Non-head	0	Late
DT_vs_D_24h	ENSG00000007047_MARK4	ENSG00000007047	5.715192069308021	0.11509688615803249	6	MARK4	45079288	45305284	225997	GTF gene span	5.354102674138138	0.7471451876019576	Non-head	0	Late
DT_vs_D_24h	ENSG00000007062_PROM1	ENSG00000007062	-0.3528561269415395	0.5186464475850594	6	PROM1	15963076	16084378	121303	GTF gene span	5.083871541734953	0.21510137497086926	Non-head	0	Late
DT_vs_D_24h	ENSG00000007080_CCDC124	ENSG00000007080	5.356914697106488	0.14363955548346796	6	CCDC124	17932588	17944914	12327	GTF gene span	4.0908573959815335	0.6896411092985318	Non-head	0	Late
DT_vs_D_24h	ENSG00000007168_PAFAH1B1	ENSG00000007168	7.225220229887201	0.07777048098418138	6	PAFAH1B1	2593183	2685627	92445	GTF gene span	4.965883426786356	0.9309601491493824	Head	1	Late
