gene,gene_symbol,auc_DOX@24h,fdr_DOX@24h,auc_DOX@4h,fdr_DOX@4h,baseline_mean,region,is_DDR
ENSG00000273062_AL449106.1,AL449106.1,1,0.09595375723,0,0.3887587822,3.981670993,mid,False
ENSG00000001631_KRIT1,KRIT1,1,0.09595375723,0.0625,0.4977511244,9.975562839,mid,False
ENSG00000049618_ARID1B,ARID1B,1,0.09595375723,0.0625,0.4977511244,12.04402854,head,False
ENSG00000052126_PLEKHA5,PLEKHA5,1,0.09595375723,0.0625,0.4977511244,10.53510185,mid,False
ENSG00000055609_KMT2C,KMT2C,1,0.09595375723,0.0625,0.4977511244,12.2574058,head,False
ENSG00000072134_EPN2,EPN2,1,0.09595375723,0.0625,0.4977511244,10.3346709,mid,False
ENSG00000073331_ALPK1,ALPK1,1,0.09595375723,0.0625,0.4977511244,8.999707466,mid,False
ENSG00000102349_KLF8,KLF8,1,0.09595375723,0.0625,0.4977511244,8.916193898,mid,False
ENSG00000104517_UBR5,UBR5,1,0.09595375723,0.0625,0.4977511244,12.04725318,head,False
ENSG00000112983_BRD8,BRD8,1,0.09595375723,0.0625,0.4977511244,9.905153538,mid,False
ENSG00000119397_CNTRL,CNTRL,1,0.09595375723,0.0625,0.4977511244,9.006527039,mid,False
ENSG00000120662_MTRF1,MTRF1,1,0.09595375723,0.0625,0.4977511244,8.302497964,mid,False
ENSG00000121988_ZRANB3,ZRANB3,1,0.09595375723,0.0625,0.4977511244,7.996995857,mid,False
ENSG00000122557_HERPUD2,HERPUD2,1,0.09595375723,0.0625,0.4977511244,9.558587585,mid,False
ENSG00000123191_ATP7B,ATP7B,1,0.09595375723,0.0625,0.4977511244,8.988055711,mid,False
ENSG00000130023_ERMARD,ERMARD,1,0.09595375723,0.0625,0.4977511244,8.265177367,mid,False
ENSG00000131503_ANKHD1,ANKHD1,1,0.09595375723,0.0625,0.4977511244,11.99017117,head,False
ENSG00000135537_AFG1L,AFG1L,1,0.09595375723,0.0625,0.4977511244,7.552021275,mid,False
ENSG00000142961_MOB3C,MOB3C,1,0.09595375723,0.0625,0.4977511244,8.297675775,mid,False
ENSG00000143379_SETDB1,SETDB1,1,0.09595375723,0.0625,0.4977511244,10.04883209,mid,False
ENSG00000156463_SH3RF2,SH3RF2,1,0.09595375723,0.0625,0.4977511244,10.03737879,mid,False
ENSG00000166387_PPFIBP2,PPFIBP2,1,0.09595375723,0.0625,0.4977511244,8.1836171,mid,False
ENSG00000168781_PPIP5K1,PPIP5K1,1,0.09595375723,0.0625,0.4977511244,10.61116576,mid,False
ENSG00000170631_ZNF16,ZNF16,1,0.09595375723,0.0625,0.4977511244,8.110686107,mid,False
ENSG00000172661_WASHC2C,WASHC2C,1,0.09595375723,0.0625,0.4977511244,10.06899801,mid,False
ENSG00000174373_RALGAPA1,RALGAPA1,1,0.09595375723,0.0625,0.4977511244,10.82223028,mid,False
ENSG00000176155_CCDC57,CCDC57,1,0.09595375723,0.0625,0.4977511244,9.801365117,mid,False
ENSG00000180113_TDRD6,TDRD6,1,0.09595375723,0.0625,0.4977511244,4.585883837,mid,False
ENSG00000186472_PCLO,PCLO,1,0.09595375723,0.0625,0.4977511244,8.300189106,mid,False
ENSG00000198408_OGA,OGA,1,0.09595375723,0.0625,0.4977511244,12.01658323,head,False
ENSG00000205758_CRYZL1,CRYZL1,1,0.09595375723,0.0625,0.4977511244,8.816684634,mid,False
ENSG00000227082_LINC02798,LINC02798,1,0.09595375723,0.0625,0.4977511244,3.812357772,mid,False
ENSG00000234390_USP27X-AS1,USP27X-AS1,1,0.09595375723,0.0625,0.4977511244,3.721732916,mid,False
ENSG00000239523_MYLK-AS1,MYLK-AS1,1,0.09595375723,0.0625,0.4977511244,7.451943748,mid,False
ENSG00000260193_LINC02846,LINC02846,1,0.09595375723,0.0625,0.4977511244,3.084166687,mid,False
ENSG00000260287_TBC1D3G,TBC1D3G,1,0.09595375723,0.0625,0.4977511244,4.544210109,mid,False
ENSG00000271746_AL031848.2,AL031848.2,1,0.09595375723,0.0625,0.4977511244,1.803304819,tail,False
ENSG00000274265_AC245297.3,AC245297.3,1,0.09595375723,0.0625,0.4977511244,8.738265792,mid,False
ENSG00000277383_AC010331.1,AC010331.1,1,0.09595375723,0.0625,0.4977511244,3.643168973,mid,False
ENSG00000140465_CYP1A1,CYP1A1,1,0.09595375723,0.125,0.6097337006,5.321664353,mid,False
ENSG00000012822_CALCOCO1,CALCOCO1,1,0.09595375723,0.125,0.6097337006,10.23735457,mid,False
ENSG00000022976_ZNF839,ZNF839,1,0.09595375723,0.125,0.6097337006,8.172003427,mid,False
ENSG00000046651_OFD1,OFD1,1,0.09595375723,0.125,0.6097337006,10.03145103,mid,False
ENSG00000047578_KIAA0556,KIAA0556,1,0.09595375723,0.125,0.6097337006,9.771751634,mid,False
ENSG00000049192_ADAMTS6,ADAMTS6,1,0.09595375723,0.125,0.6097337006,6.360490627,mid,False
ENSG00000057704_TMCC3,TMCC3,1,0.09595375723,0.125,0.6097337006,6.680988581,mid,False
ENSG00000060339_CCAR1,CCAR1,1,0.09595375723,0.125,0.6097337006,11.37902415,mid,False
ENSG00000083535_PIBF1,PIBF1,1,0.09595375723,0.125,0.6097337006,9.115069663,mid,False
ENSG00000101639_CEP192,CEP192,1,0.09595375723,0.125,0.6097337006,10.60387297,mid,False
ENSG00000102699_PARP4,PARP4,1,0.09595375723,0.125,0.6097337006,11.62001941,head,False
ENSG00000104133_SPG11,SPG11,1,0.09595375723,0.125,0.6097337006,11.09061448,mid,False
ENSG00000107742_SPOCK2,SPOCK2,1,0.09595375723,0.125,0.6097337006,5.313793925,mid,False
ENSG00000108599_AKAP10,AKAP10,1,0.09595375723,0.125,0.6097337006,9.622095657,mid,False
ENSG00000108799_EZH1,EZH1,1,0.09595375723,0.125,0.6097337006,9.25564576,mid,False
ENSG00000115020_PIKFYVE,PIKFYVE,1,0.09595375723,0.125,0.6097337006,10.62642295,mid,False
ENSG00000120549_KIAA1217,KIAA1217,1,0.09595375723,0.125,0.6097337006,11.15933743,mid,False
ENSG00000122417_ODF2L,ODF2L,1,0.09595375723,0.125,0.6097337006,8.931111485,mid,False
ENSG00000135315_CEP162,CEP162,1,0.09595375723,0.125,0.6097337006,8.030102804,mid,False
ENSG00000137776_SLTM,SLTM,1,0.09595375723,0.125,0.6097337006,10.98083327,mid,False
ENSG00000137817_PARP6,PARP6,1,0.09595375723,0.125,0.6097337006,9.671381691,mid,False
ENSG00000141013_GAS8,GAS8,1,0.09595375723,0.125,0.6097337006,8.898633583,mid,False
ENSG00000143093_STRIP1,STRIP1,1,0.09595375723,0.125,0.6097337006,9.957459508,mid,False
ENSG00000143624_INTS3,INTS3,1,0.09595375723,0.125,0.6097337006,10.94906737,mid,False
ENSG00000145022_TCTA,TCTA,1,0.09595375723,0.125,0.6097337006,8.429982581,mid,False
ENSG00000145241_CENPC,CENPC,1,0.09595375723,0.125,0.6097337006,9.220206292,mid,False
ENSG00000147050_KDM6A,KDM6A,1,0.09595375723,0.125,0.6097337006,9.6862448,mid,False
ENSG00000147133_TAF1,TAF1,1,0.09595375723,0.125,0.6097337006,10.29064587,mid,False
ENSG00000149582_TMEM25,TMEM25,1,0.09595375723,0.125,0.6097337006,1.744027245,tail,False
ENSG00000157426_AASDH,AASDH,1,0.09595375723,0.125,0.6097337006,8.543385699,mid,False
ENSG00000165113_GKAP1,GKAP1,1,0.09595375723,0.125,0.6097337006,6.020282369,mid,False
ENSG00000167257_RNF214,RNF214,1,0.09595375723,0.125,0.6097337006,9.300830364,mid,False
ENSG00000169062_UPF3A,UPF3A,1,0.09595375723,0.125,0.6097337006,9.373634773,mid,False
ENSG00000170835_CEL,CEL,1,0.09595375723,0.125,0.6097337006,3.484091907,mid,False
ENSG00000171723_GPHN,GPHN,1,0.09595375723,0.125,0.6097337006,9.486218782,mid,False
ENSG00000177200_CHD9,CHD9,1,0.09595375723,0.125,0.6097337006,11.67817588,head,False
ENSG00000178385_PLEKHM3,PLEKHM3,1,0.09595375723,0.125,0.6097337006,8.69551475,mid,False
ENSG00000180881_CAPS2,CAPS2,1,0.09595375723,0.125,0.6097337006,5.820133598,mid,False
ENSG00000181404_WASHC1,WASHC1,1,0.09595375723,0.125,0.6097337006,8.366045046,mid,False
ENSG00000181804_SLC9A9,SLC9A9,1,0.09595375723,0.125,0.6097337006,5.440756887,mid,False
ENSG00000182902_SLC25A18,SLC25A18,1,0.09595375723,0.125,0.6097337006,5.437060711,mid,False
ENSG00000185736_ADARB2,ADARB2,1,0.09595375723,0.125,0.6097337006,6.923910528,mid,False
ENSG00000197816_CCDC180,CCDC180,1,0.09595375723,0.125,0.6097337006,6.671101766,mid,False
ENSG00000214860_EVPLL,EVPLL,1,0.09595375723,0.125,0.6097337006,6.083056792,mid,False
ENSG00000221817_PPP3CB-AS1,PPP3CB-AS1,1,0.09595375723,0.125,0.6097337006,6.383394949,mid,False
ENSG00000235703_LINC00894,LINC00894,1,0.09595375723,0.125,0.6097337006,6.398732119,mid,False
ENSG00000243004_AC005062.1,AC005062.1,1,0.09595375723,0.125,0.6097337006,3.899677304,mid,False
ENSG00000250486_FAM218A,FAM218A,1,0.09595375723,0.125,0.6097337006,5.878754351,mid,False
ENSG00000259287_AC010809.1,AC010809.1,1,0.09595375723,0.125,0.6097337006,3.195821273,mid,False
ENSG00000267100_ILF3-DT,ILF3-DT,1,0.09595375723,0.125,0.6097337006,7.265355049,mid,False
ENSG00000268670_AC016586.1,AC016586.1,1,0.09595375723,0.125,0.6097337006,4.334233455,mid,False
ENSG00000272030_AL162258.2,AL162258.2,1,0.09595375723,0.125,0.6097337006,4.463227315,mid,False
ENSG00000100867_DHRS2,DHRS2,1,0.0984932289,0.125,0.6097337006,1.669827134,tail,False
ENSG00000001084_GCLC,GCLC,1,0.09595375723,0.1875,0.7407564811,11.83843905,head,False
ENSG00000004799_PDK4,PDK4,1,0.09595375723,0.1875,0.7407564811,10.20916789,mid,False
ENSG00000006747_SCIN,SCIN,1,0.09595375723,0.1875,0.7407564811,4.991921745,mid,False
ENSG00000026652_AGPAT4,AGPAT4,1,0.09595375723,0.1875,0.7407564811,8.310069481,mid,False
ENSG00000028203_VEZT,VEZT,1,0.09595375723,0.1875,0.7407564811,10.74542951,mid,False
ENSG00000038427_VCAN,VCAN,1,0.09595375723,0.1875,0.7407564811,6.862712743,mid,False
ENSG00000044459_CNTLN,CNTLN,1,0.09595375723,0.1875,0.7407564811,8.515549556,mid,False
ENSG00000065029_ZNF76,ZNF76,1,0.09595375723,0.1875,0.7407564811,9.073569367,mid,False
ENSG00000075568_TMEM131,TMEM131,1,0.09595375723,0.1875,0.7407564811,10.83298768,mid,False
ENSG00000082068_WDR70,WDR70,1,0.09595375723,0.1875,0.7407564811,9.408178118,mid,False
ENSG00000084731_KIF3C,KIF3C,1,0.09595375723,0.1875,0.7407564811,6.067165255,mid,False
ENSG00000085465_OVGP1,OVGP1,1,0.09595375723,0.1875,0.7407564811,7.047812799,mid,False
ENSG00000099290_WASHC2A,WASHC2A,1,0.09595375723,0.1875,0.7407564811,10.54487869,mid,False
ENSG00000100197_CYP2D6,CYP2D6,1,0.09595375723,0.1875,0.7407564811,4.035020132,mid,False
ENSG00000107890_ANKRD26,ANKRD26,1,0.09595375723,0.1875,0.7407564811,9.314195813,mid,False
ENSG00000108602_ALDH3A1,ALDH3A1,1,0.09595375723,0.1875,0.7407564811,9.303466161,mid,False
ENSG00000110274_CEP164,CEP164,1,0.09595375723,0.1875,0.7407564811,9.769042292,mid,False
ENSG00000111215_PRR4,PRR4,1,0.09595375723,0.1875,0.7407564811,4.539428823,mid,False
ENSG00000112282_MED23,MED23,1,0.09595375723,0.1875,0.7407564811,10.09934437,mid,False
ENSG00000122484_RPAP2,RPAP2,1,0.09595375723,0.1875,0.7407564811,10.20753786,mid,False
ENSG00000123066_MED13L,MED13L,1,0.09595375723,0.1875,0.7407564811,11.40734954,mid,False
ENSG00000123636_BAZ2B,BAZ2B,1,0.09595375723,0.1875,0.7407564811,10.63188587,mid,False
ENSG00000124215_CDH26,CDH26,1,0.09595375723,0.1875,0.7407564811,4.24735286,mid,False
ENSG00000125735_TNFSF14,TNFSF14,1,0.09595375723,0.1875,0.7407564811,7.348057195,mid,False
ENSG00000130775_THEMIS2,THEMIS2,1,0.09595375723,0.1875,0.7407564811,7.3666003,mid,False
ENSG00000132950_ZMYM5,ZMYM5,1,0.09595375723,0.1875,0.7407564811,8.045123799,mid,False
ENSG00000133401_PDZD2,PDZD2,1,0.09595375723,0.1875,0.7407564811,10.27838211,mid,False
ENSG00000133884_DPF2,DPF2,1,0.09595375723,0.1875,0.7407564811,9.666948324,mid,False
ENSG00000138688_KIAA1109,KIAA1109,1,0.09595375723,0.1875,0.7407564811,12.15684112,head,False
ENSG00000139631_CSAD,CSAD,1,0.09595375723,0.1875,0.7407564811,7.23693115,mid,False
ENSG00000140950_MEAK7,MEAK7,1,0.09595375723,0.1875,0.7407564811,10.87724228,mid,False
ENSG00000143776_CDC42BPA,CDC42BPA,1,0.09595375723,0.1875,0.7407564811,11.52759209,head,False
ENSG00000154262_ABCA6,ABCA6,1,0.09595375723,0.1875,0.7407564811,5.18011989,mid,False
ENSG00000156650_KAT6B,KAT6B,1,0.09595375723,0.1875,0.7407564811,10.59838516,mid,False
ENSG00000160271_RALGDS,RALGDS,1,0.09595375723,0.1875,0.7407564811,10.18226744,mid,False
ENSG00000163516_ANKZF1,ANKZF1,1,0.09595375723,0.1875,0.7407564811,10.07666635,mid,False
ENSG00000163625_WDFY3,WDFY3,1,0.09595375723,0.1875,0.7407564811,11.32982611,mid,False
ENSG00000163867_ZMYM6,ZMYM6,1,0.09595375723,0.1875,0.7407564811,9.231668617,mid,False
ENSG00000163913_IFT122,IFT122,1,0.09595375723,0.1875,0.7407564811,9.653539724,mid,False
ENSG00000164989_CCDC171,CCDC171,1,0.09595375723,0.1875,0.7407564811,5.908775223,mid,False
ENSG00000165868_HSPA12A,HSPA12A,1,0.09595375723,0.1875,0.7407564811,9.891262531,mid,False
ENSG00000166268_MYRFL,MYRFL,1,0.09595375723,0.1875,0.7407564811,3.400830183,mid,False
ENSG00000166510_CCDC68,CCDC68,1,0.09595375723,0.1875,0.7407564811,6.178273732,mid,False
ENSG00000166828_SCNN1G,SCNN1G,1,0.09595375723,0.1875,0.7407564811,11.50659488,head,False
ENSG00000168916_ZNF608,ZNF608,1,0.09595375723,0.1875,0.7407564811,9.834469512,mid,False
ENSG00000169231_THBS3,THBS3,1,0.09595375723,0.1875,0.7407564811,7.799737011,mid,False
ENSG00000171634_BPTF,BPTF,1,0.09595375723,0.1875,0.7407564811,11.99467728,head,False
ENSG00000172869_DMXL1,DMXL1,1,0.09595375723,0.1875,0.7407564811,11.18728559,mid,False
ENSG00000182185_RAD51B,RAD51B,1,0.09595375723,0.1875,0.7407564811,6.827467848,mid,False
ENSG00000184441_AP001062.1,AP001062.1,1,0.09595375723,0.1875,0.7407564811,5.995473401,mid,False
ENSG00000184677_ZBTB40,ZBTB40,1,0.09595375723,0.1875,0.7407564811,9.497074956,mid,False
ENSG00000186399_GOLGA8R,GOLGA8R,1,0.09595375723,0.1875,0.7407564811,3.259005018,mid,False
ENSG00000186529_CYP4F3,CYP4F3,1,0.09595375723,0.1875,0.7407564811,9.242022205,mid,False
ENSG00000186952_TMEM232,TMEM232,1,0.09595375723,0.1875,0.7407564811,2.215395977,mid,False
ENSG00000198919_DZIP3,DZIP3,1,0.09595375723,0.1875,0.7407564811,7.78141104,mid,False
ENSG00000198929_NOS1AP,NOS1AP,1,0.09595375723,0.1875,0.7407564811,6.492038495,mid,False
ENSG00000204304_PBX2,PBX2,1,0.09595375723,0.1875,0.7407564811,10.21746044,mid,False
ENSG00000213658_LAT,LAT,1,0.09595375723,0.1875,0.7407564811,4.737123819,mid,False
ENSG00000214944_ARHGEF28,ARHGEF28,1,0.09595375723,0.1875,0.7407564811,10.41216158,mid,False
ENSG00000226029_LINC01772,LINC01772,1,0.09595375723,0.1875,0.7407564811,4.870091167,mid,False
ENSG00000227400_AC012501.2,AC012501.2,1,0.09595375723,0.1875,0.7407564811,4.108292712,mid,False
ENSG00000228172_AL020996.1,AL020996.1,1,0.09595375723,0.1875,0.7407564811,4.482508369,mid,False
ENSG00000231187_AL356056.2,AL356056.2,1,0.09595375723,0.1875,0.7407564811,7.053982514,mid,False
ENSG00000232586_KIAA1614-AS1,KIAA1614-AS1,1,0.09595375723,0.1875,0.7407564811,3.474824473,mid,False
ENSG00000236017_ASMTL-AS1,ASMTL-AS1,1,0.09595375723,0.1875,0.7407564811,4.311853926,mid,False
ENSG00000236754_AC007666.1,AC007666.1,1,0.09595375723,0.1875,0.7407564811,1.608889092,tail,False
ENSG00000248429_FAM198B-AS1,FAM198B-AS1,1,0.09595375723,0.1875,0.7407564811,7.735508606,mid,False
ENSG00000258643_BCL2L2-PABPN1,BCL2L2-PABPN1,1,0.09595375723,0.1875,0.7407564811,6.491799856,mid,False
ENSG00000261663_AC009065.8,AC009065.8,1,0.09595375723,0.1875,0.7407564811,1.632373643,tail,False
ENSG00000269514_AC024257.3,AC024257.3,1,0.09595375723,0.1875,0.7407564811,4.438303038,mid,False
ENSG00000271936_AC012073.1,AC012073.1,1,0.09595375723,0.1875,0.7407564811,5.05376969,mid,False
ENSG00000272573_MUSTN1,MUSTN1,1,0.09595375723,0.1875,0.7407564811,2.932253022,mid,False
ENSG00000276997_AL513314.2,AL513314.2,1,0.09595375723,0.1875,0.7407564811,3.867513876,mid,False
ENSG00000278299_TBC1D3C,TBC1D3C,1,0.09595375723,0.1875,0.7407564811,4.837475867,mid,False
ENSG00000281183_NPTN-IT1,NPTN-IT1,1,0.09595375723,0.1875,0.7407564811,6.870116821,mid,False
ENSG00000284830_AL049557.1,AL049557.1,1,0.09595375723,0.1875,0.7407564811,2.899047478,mid,False
ENSG00000285820_AL157829.1,AL157829.1,1,0.09595375723,0.1875,0.7407564811,5.55071882,mid,False
ENSG00000286133_AC093817.2,AC093817.2,1,0.09595375723,0.1875,0.7407564811,3.484663964,mid,False
ENSG00000287200_AC022506.2,AC022506.2,1,0.09595375723,0.1875,0.7407564811,3.429837845,mid,False
ENSG00000004777_ARHGAP33,ARHGAP33,1,0.09595375723,0.25,0.7996788438,4.962593409,mid,False
ENSG00000005339_CREBBP,CREBBP,1,0.09595375723,0.25,0.7996788438,11.5576769,head,False
ENSG00000007341_ST7L,ST7L,1,0.09595375723,0.25,0.7996788438,8.336214572,mid,False
ENSG00000008869_HEATR5B,HEATR5B,1,0.09595375723,0.25,0.7996788438,10.48457431,mid,False
ENSG00000051825_MPHOSPH9,MPHOSPH9,1,0.09595375723,0.25,0.7996788438,9.290388779,mid,False
ENSG00000056277_ZNF280C,ZNF280C,1,0.09595375723,0.25,0.7996788438,7.640021398,mid,False
ENSG00000058453_CROCC,CROCC,1,0.09595375723,0.25,0.7996788438,7.625443302,mid,False
ENSG00000064601_CTSA,CTSA,1,0.09595375723,0.25,0.7996788438,11.00527723,mid,False
ENSG00000067365_METTL22,METTL22,1,0.09595375723,0.25,0.7996788438,7.925579816,mid,False
ENSG00000068784_SRBD1,SRBD1,1,0.09595375723,0.25,0.7996788438,8.645155939,mid,False
ENSG00000072210_ALDH3A2,ALDH3A2,1,0.09595375723,0.25,0.7996788438,12.56600961,head,False
ENSG00000074966_TXK,TXK,1,0.09595375723,0.25,0.7996788438,2.69187655,mid,False
ENSG00000075292_ZNF638,ZNF638,1,0.09595375723,0.25,0.7996788438,11.988351,head,False
ENSG00000080189_SLC35C2,SLC35C2,1,0.09595375723,0.25,0.7996788438,10.10498659,mid,False
ENSG00000083896_YTHDC1,YTHDC1,1,0.09595375723,0.25,0.7996788438,10.73489265,mid,False
ENSG00000084110_HAL,HAL,1,0.09595375723,0.25,0.7996788438,4.126404654,mid,False
ENSG00000085982_USP40,USP40,1,0.09595375723,0.25,0.7996788438,10.45302976,mid,False
ENSG00000086758_HUWE1,HUWE1,1,0.09595375723,0.25,0.7996788438,14.08042721,head,False
ENSG00000092529_CAPN3,CAPN3,1,0.09595375723,0.25,0.7996788438,5.778485135,mid,False
ENSG00000093217_XYLB,XYLB,1,0.09595375723,0.25,0.7996788438,8.148979521,mid,False
ENSG00000100099_HPS4,HPS4,1,0.09595375723,0.25,0.7996788438,9.914788314,mid,False
ENSG00000100150_DEPDC5,DEPDC5,1,0.09595375723,0.25,0.7996788438,9.216063491,mid,False
ENSG00000100393_EP300,EP300,1,0.09595375723,0.25,0.7996788438,11.95357972,head,False
ENSG00000101040_ZMYND8,ZMYND8,1,0.09595375723,0.25,0.7996788438,9.812119506,mid,False
ENSG00000102003_SYP,SYP,1,0.09595375723,0.25,0.7996788438,3.543134212,mid,False
ENSG00000103051_COG4,COG4,1,0.09595375723,0.25,0.7996788438,10.06323092,mid,False
ENSG00000107317_PTGDS,PTGDS,1,0.09595375723,0.25,0.7996788438,2.643745365,mid,False
ENSG00000107954_NEURL1,NEURL1,1,0.09595375723,0.25,0.7996788438,8.112284048,mid,False
ENSG00000108175_ZMIZ1,ZMIZ1,1,0.09595375723,0.25,0.7996788438,11.68515434,head,False
ENSG00000108669_CYTH1,CYTH1,1,0.09595375723,0.25,0.7996788438,9.749205794,mid,False
ENSG00000109193_SULT1E1,SULT1E1,1,0.09595375723,0.25,0.7996788438,9.730884746,mid,False
ENSG00000113971_NPHP3,NPHP3,1,0.09595375723,0.25,0.7996788438,8.131099844,mid,False
ENSG00000115282_TTC31,TTC31,1,0.09595375723,0.25,0.7996788438,8.6422737,mid,False
ENSG00000115355_CCDC88A,CCDC88A,1,0.09595375723,0.25,0.7996788438,10.84215707,mid,False
