gene_core,gene,gene_raw,type,start,stop,strand,score,pval,qval,dist_to_tss,band,updown_group
ENSG00000002549,ENSG00000002549_LAP3,ENSG00000002549.14_LAP3(+),EBOX,1222,1233,+,15.3171,2.62e-06,0.431,226.5,mid,Neutral
ENSG00000002549,ENSG00000002549_LAP3,ENSG00000002549.14_LAP3(+),EBOX,1222,1233,-,10.6504,8.83e-05,0.63,226.5,mid,Neutral
ENSG00000002586,ENSG00000002586_CD99,ENSG00000002586.21_CD99(+),EBOX,261,272,+,10.8293,7.92e-05,0.63,-734.5,mid,Neutral
ENSG00000002586,ENSG00000002586_CD99,ENSG00000002586.21_CD99(+),EBOX,1191,1202,-,10.5854,9.15e-05,0.63,195.5,mid,Neutral
ENSG00000002587,ENSG00000002587_HS3ST1,ENSG00000002587.11_HS3ST1(-),EBOX,1179,1190,-,11.0569,6.92e-05,0.63,183.5,mid,Down
ENSG00000002587,ENSG00000002587_HS3ST1,ENSG00000002587.11_HS3ST1(-),EBOX,1987,1998,-,10.4472,9.92e-05,0.63,991.5,mid,Down
ENSG00000002726,ENSG00000002726_AOC1,ENSG00000002726.22_AOC1(+),EBOX,1768,1779,-,10.8699,7.75e-05,0.63,772.5,mid,Neutral
ENSG00000002745,ENSG00000002745_WNT16,ENSG00000002745.13_WNT16(+),EBOX,749,760,+,11.122,6.59e-05,0.63,-246.5,,
ENSG00000002745,ENSG00000002745_WNT16,ENSG00000002745.13_WNT16(+),TETO,1788,1806,+,8.67,9.98e-05,1,796,,
ENSG00000002745,ENSG00000002745_WNT16,ENSG00000002745.13_WNT16(+),TETO,1788,1806,-,8.67,9.98e-05,1,796,,
ENSG00000002746,ENSG00000002746_HECW1,ENSG00000002746.16_HECW1(+),EBOX,1235,1246,-,13.8618,1.12e-05,0.552,239.5,,
ENSG00000002746,ENSG00000002746_HECW1,ENSG00000002746.16_HECW1(+),EBOX,1235,1246,+,13.748,1.2e-05,0.559,239.5,,
ENSG00000002746,ENSG00000002746_HECW1,ENSG00000002746.16_HECW1(+),EBOX,1836,1847,-,12.7317,2.35e-05,0.63,840.5,,
ENSG00000002834,ENSG00000002834_LASP1,ENSG00000002834.20_LASP1(+),EBOX,862,873,-,10.8049,8.04e-05,0.63,-133.5,head,Neutral
ENSG00000002834,ENSG00000002834_LASP1,ENSG00000002834.20_LASP1(+),TETO,114,132,+,9.645,5.92e-05,1,-878,head,Neutral
ENSG00000002834,ENSG00000002834_LASP1,ENSG00000002834.20_LASP1(+),TETO,114,132,-,9.645,5.92e-05,1,-878,head,Neutral
ENSG00000003056,ENSG00000003056_M6PR,ENSG00000003056.9_M6PR(-),TETO,270,288,+,11.1,2.9e-05,1,-722,head,Neutral
ENSG00000003056,ENSG00000003056_M6PR,ENSG00000003056.9_M6PR(-),TETO,270,288,-,11.1,2.9e-05,1,-722,head,Neutral
ENSG00000003137,ENSG00000003137_CYP26B1,ENSG00000003137.9_CYP26B1(-),EBOX,1073,1084,+,11.4634,5.33e-05,0.63,77.5,mid,Down
ENSG00000003147,ENSG00000003147_ICA1,ENSG00000003147.20_ICA1(-),EBOX,1094,1105,-,13.6341,1.31e-05,0.569,98.5,mid,Neutral
ENSG00000003147,ENSG00000003147_ICA1,ENSG00000003147.20_ICA1(-),EBOX,1094,1105,+,13.5854,1.36e-05,0.57,98.5,mid,Neutral
ENSG00000003393,ENSG00000003393_ALS2,ENSG00000003393.17_ALS2(-),EBOX,615,626,-,14,1.02e-05,0.545,-380.5,mid,Neutral
ENSG00000003393,ENSG00000003393_ALS2,ENSG00000003393.17_ALS2(-),EBOX,1128,1139,-,12.7724,2.3e-05,0.63,132.5,mid,Neutral
ENSG00000003402,ENSG00000003402_CFLAR,ENSG00000003402.22_CFLAR(+),EBOX,1487,1498,-,11.065,6.88e-05,0.63,491.5,head,Neutral
ENSG00000003436,ENSG00000003436_TFPI,ENSG00000003436.17_TFPI(-),EBOX,1067,1078,+,11.0244,7.04e-05,0.63,71.5,mid,Down
ENSG00000003509,ENSG00000003509_NDUFAF7,ENSG00000003509.17_NDUFAF7(+),EBOX,401,412,+,10.7642,8.19e-05,0.63,-594.5,mid,Neutral
ENSG00000003987,ENSG00000003987_MTMR7,ENSG00000003987.15_MTMR7(-),EBOX,1020,1031,-,11.4146,5.48e-05,0.63,24.5,,
ENSG00000003989,ENSG00000003989_SLC7A2,ENSG00000003989.19_SLC7A2(+),EBOX,1097,1108,+,16.8455,1.33e-07,0.305,101.5,mid,Neutral
ENSG00000003989,ENSG00000003989_SLC7A2,ENSG00000003989.19_SLC7A2(+),EBOX,909,920,+,13.5772,1.36e-05,0.57,-86.5,mid,Neutral
ENSG00000003989,ENSG00000003989_SLC7A2,ENSG00000003989.19_SLC7A2(+),EBOX,1097,1108,-,12.5203,2.67e-05,0.63,101.5,mid,Neutral
ENSG00000003989,ENSG00000003989_SLC7A2,ENSG00000003989.19_SLC7A2(+),EBOX,909,920,-,11.6748,4.65e-05,0.63,-86.5,mid,Neutral
ENSG00000004139,ENSG00000004139_SARM1,ENSG00000004139.15_SARM1(+),EBOX,1472,1483,+,10.8862,7.65e-05,0.63,476.5,mid,Neutral
ENSG00000004399,ENSG00000004399_PLXND1,ENSG00000004399.14_PLXND1(-),TETO,1276,1294,+,11.205,2.73e-05,1,284,mid,Down
ENSG00000004478,ENSG00000004478_FKBP4,ENSG00000004478.9_FKBP4(+),EBOX,1696,1707,+,11.1545,6.46e-05,0.63,700.5,head,Neutral
ENSG00000004487,ENSG00000004487_KDM1A,ENSG00000004487.19_KDM1A(+),EBOX,1683,1694,+,10.561,9.26e-05,0.63,687.5,mid,Neutral
ENSG00000004487,ENSG00000004487_KDM1A,ENSG00000004487.19_KDM1A(+),TETO,995,1013,+,10.05,4.91e-05,1,3,mid,Neutral
ENSG00000004660,ENSG00000004660_CAMKK1,ENSG00000004660.16_CAMKK1(-),EBOX,1379,1390,+,13.3902,1.55e-05,0.59,383.5,mid,Up
ENSG00000004660,ENSG00000004660_CAMKK1,ENSG00000004660.16_CAMKK1(-),EBOX,1379,1390,-,13.3902,1.55e-05,0.59,383.5,mid,Up
ENSG00000004660,ENSG00000004660_CAMKK1,ENSG00000004660.16_CAMKK1(-),EBOX,1282,1293,-,11.2846,5.97e-05,0.63,286.5,mid,Up
ENSG00000004766,ENSG00000004766_VPS50,ENSG00000004766.18_VPS50(+),EBOX,1020,1031,+,12.6748,2.42e-05,0.63,24.5,mid,Neutral
ENSG00000004766,ENSG00000004766_VPS50,ENSG00000004766.18_VPS50(+),EBOX,1020,1031,-,10.7154,8.47e-05,0.63,24.5,mid,Neutral
ENSG00000004777,ENSG00000004777_ARHGAP33,ENSG00000004777.19_ARHGAP33(+),TETO,1633,1651,-,8.81,9.24e-05,1,641,mid,Neutral
ENSG00000004799,ENSG00000004799_PDK4,ENSG00000004799.9_PDK4(-),EBOX,1528,1539,+,11.5041,5.2e-05,0.63,532.5,mid,Neutral
ENSG00000004799,ENSG00000004799_PDK4,ENSG00000004799.9_PDK4(-),EBOX,1690,1701,-,10.8374,7.89e-05,0.63,694.5,mid,Neutral
ENSG00000004799,ENSG00000004799_PDK4,ENSG00000004799.9_PDK4(-),TETO,960,978,-,12.245,1.46e-05,1,-32,mid,Neutral
ENSG00000004799,ENSG00000004799_PDK4,ENSG00000004799.9_PDK4(-),TETO,149,167,+,12.025,1.64e-05,1,-843,mid,Neutral
ENSG00000004799,ENSG00000004799_PDK4,ENSG00000004799.9_PDK4(-),TETO,1107,1125,+,8.95,8.55e-05,1,115,mid,Neutral
ENSG00000004809,ENSG00000004809_SLC22A16,ENSG00000004809.15_SLC22A16(-),EBOX,1138,1149,-,14.9268,4.21e-06,0.459,142.5,,
ENSG00000004809,ENSG00000004809_SLC22A16,ENSG00000004809.15_SLC22A16(-),EBOX,1138,1149,+,14.0244,1e-05,0.543,142.5,,
ENSG00000004838,ENSG00000004838_ZMYND10,ENSG00000004838.15_ZMYND10(-),EBOX,1463,1474,-,11.6911,4.6e-05,0.63,467.5,mid,Up
ENSG00000004848,ENSG00000004848_ARX,ENSG00000004848.8_ARX(-),EBOX,1411,1422,-,14.9106,4.34e-06,0.459,415.5,,
ENSG00000004848,ENSG00000004848_ARX,ENSG00000004848.8_ARX(-),TETO,582,600,-,9.06,8.03e-05,1,-410,,
ENSG00000004848,ENSG00000004848_ARX,ENSG00000004848.8_ARX(-),TETO,582,600,+,8.755,9.53e-05,1,-410,,
ENSG00000004864,ENSG00000004864_SLC25A13,ENSG00000004864.15_SLC25A13(-),EBOX,804,815,+,12.4228,2.85e-05,0.63,-191.5,mid,Neutral
ENSG00000004864,ENSG00000004864_SLC25A13,ENSG00000004864.15_SLC25A13(-),EBOX,893,904,-,10.878,7.7e-05,0.63,-102.5,mid,Neutral
ENSG00000004864,ENSG00000004864_SLC25A13,ENSG00000004864.15_SLC25A13(-),EBOX,893,904,+,10.5935,9.11e-05,0.63,-102.5,mid,Neutral
ENSG00000004866,ENSG00000004866_ST7,ENSG00000004866.23_ST7(+),EBOX,1314,1325,+,13.8699,1.11e-05,0.551,318.5,mid,Neutral
ENSG00000004866,ENSG00000004866_ST7,ENSG00000004866.23_ST7(+),EBOX,1314,1325,-,11,7.12e-05,0.63,318.5,mid,Neutral
ENSG00000004939,ENSG00000004939_SLC4A1,ENSG00000004939.16_SLC4A1(-),EBOX,1083,1094,-,11.5854,4.92e-05,0.63,87.5,,
ENSG00000004961,ENSG00000004961_HCCS,ENSG00000004961.16_HCCS(+),EBOX,1214,1225,-,11.5854,4.92e-05,0.63,218.5,mid,Neutral
ENSG00000004961,ENSG00000004961_HCCS,ENSG00000004961.16_HCCS(+),EBOX,959,970,+,11.2195,6.23e-05,0.63,-36.5,mid,Neutral
ENSG00000005007,ENSG00000005007_UPF1,ENSG00000005007.15_UPF1(+),EBOX,1541,1552,-,12.3496,3e-05,0.63,545.5,head,Neutral
ENSG00000005059,ENSG00000005059_MCUB,ENSG00000005059.17_MCUB(+),EBOX,1155,1166,-,11.2927,5.94e-05,0.63,159.5,mid,Neutral
ENSG00000005059,ENSG00000005059_MCUB,ENSG00000005059.17_MCUB(+),EBOX,1197,1208,-,10.8049,8.04e-05,0.63,201.5,mid,Neutral
ENSG00000005073,ENSG00000005073_HOXA11,ENSG00000005073.6_HOXA11(-),EBOX,1952,1963,-,13.5691,1.37e-05,0.57,956.5,mid,Neutral
ENSG00000005073,ENSG00000005073_HOXA11,ENSG00000005073.6_HOXA11(-),EBOX,1952,1963,+,10.5935,9.11e-05,0.63,956.5,mid,Neutral
ENSG00000005075,ENSG00000005075_POLR2J,ENSG00000005075.17_POLR2J(-),EBOX,1951,1962,+,10.7154,8.47e-05,0.63,955.5,mid,Neutral
ENSG00000005075,ENSG00000005075_POLR2J,ENSG00000005075.17_POLR2J(-),EBOX,230,241,-,10.5691,9.24e-05,0.63,-765.5,mid,Neutral
ENSG00000005075,ENSG00000005075_POLR2J,ENSG00000005075.17_POLR2J(-),TETO,1197,1215,+,9.885,5.3e-05,1,205,mid,Neutral
ENSG00000005100,ENSG00000005100_DHX33,ENSG00000005100.13_DHX33(-),EBOX,1020,1031,-,16.1951,5.62e-07,0.334,24.5,mid,Neutral
ENSG00000005100,ENSG00000005100_DHX33,ENSG00000005100.13_DHX33(-),EBOX,1020,1031,+,11.3008,5.9e-05,0.63,24.5,mid,Neutral
ENSG00000005102,ENSG00000005102_MEOX1,ENSG00000005102.15_MEOX1(-),EBOX,87,98,+,14.8374,4.73e-06,0.474,-908.5,,
ENSG00000005102,ENSG00000005102_MEOX1,ENSG00000005102.15_MEOX1(-),EBOX,87,98,-,10.5122,9.54e-05,0.63,-908.5,,
ENSG00000005102,ENSG00000005102_MEOX1,ENSG00000005102.15_MEOX1(-),EBOX,229,240,-,10.439,9.97e-05,0.63,-766.5,,
ENSG00000005108,ENSG00000005108_THSD7A,ENSG00000005108.17_THSD7A(-),EBOX,739,750,+,10.7317,8.36e-05,0.63,-256.5,,
ENSG00000005156,ENSG00000005156_LIG3,ENSG00000005156.13_LIG3(+),EBOX,975,986,-,13.3089,1.61e-05,0.593,-20.5,mid,Neutral
ENSG00000005156,ENSG00000005156_LIG3,ENSG00000005156.13_LIG3(+),EBOX,975,986,+,13.1301,1.8e-05,0.616,-20.5,mid,Neutral
ENSG00000005156,ENSG00000005156_LIG3,ENSG00000005156.13_LIG3(+),EBOX,885,896,+,10.561,9.26e-05,0.63,-110.5,mid,Neutral
ENSG00000005187,ENSG00000005187_ACSM3,ENSG00000005187.13_ACSM3(+),EBOX,774,785,+,10.7398,8.32e-05,0.63,-221.5,mid,Neutral
ENSG00000005187,ENSG00000005187_ACSM3,ENSG00000005187.13_ACSM3(+),TETO,1631,1649,+,9.525,6.28e-05,1,639,mid,Neutral
ENSG00000005189,ENSG00000005189_REXO5,ENSG00000005189.21_REXO5(+),EBOX,1734,1745,-,11.6585,4.71e-05,0.63,738.5,mid,Neutral
ENSG00000005189,ENSG00000005189_REXO5,ENSG00000005189.21_REXO5(+),EBOX,1166,1177,+,10.8699,7.75e-05,0.63,170.5,mid,Neutral
ENSG00000005238,ENSG00000005238_FAM214B,ENSG00000005238.21_ATOSB(-),EBOX,974,985,-,16.3252,4.43e-07,0.321,-21.5,mid,Down
ENSG00000005238,ENSG00000005238_FAM214B,ENSG00000005238.21_ATOSB(-),EBOX,974,985,+,12.3333,3.04e-05,0.63,-21.5,mid,Down
ENSG00000005238,ENSG00000005238_FAM214B,ENSG00000005238.21_ATOSB(-),TETO,45,63,+,11.495,2.27e-05,1,-947,mid,Down
ENSG00000005243,ENSG00000005243_COPZ2,ENSG00000005243.11_COPZ2(-),EBOX,1157,1168,+,10.6423,8.86e-05,0.63,161.5,mid,Down
ENSG00000005249,ENSG00000005249_PRKAR2B,ENSG00000005249.15_PRKAR2B(+),EBOX,938,949,-,13.813,1.17e-05,0.553,-57.5,mid,Neutral
ENSG00000005249,ENSG00000005249_PRKAR2B,ENSG00000005249.15_PRKAR2B(+),EBOX,938,949,+,11.5122,5.17e-05,0.63,-57.5,mid,Neutral
ENSG00000005302,ENSG00000005302_MSL3,ENSG00000005302.19_MSL3(+),EBOX,752,763,-,16.2846,4.68e-07,0.321,-243.5,mid,Neutral
ENSG00000005302,ENSG00000005302_MSL3,ENSG00000005302.19_MSL3(+),EBOX,752,763,+,12.0732,3.57e-05,0.63,-243.5,mid,Neutral
ENSG00000005302,ENSG00000005302_MSL3,ENSG00000005302.19_MSL3(+),EBOX,1979,1990,+,10.6341,8.92e-05,0.63,983.5,mid,Neutral
ENSG00000005379,ENSG00000005379_TSPOAP1,ENSG00000005379.17_TSPOAP1(-),EBOX,477,488,+,11.2683,6.08e-05,0.63,-518.5,mid,Neutral
ENSG00000005379,ENSG00000005379_TSPOAP1,ENSG00000005379.17_TSPOAP1(-),EBOX,477,488,-,10.5691,9.24e-05,0.63,-518.5,mid,Neutral
ENSG00000005381,ENSG00000005381_MPO,ENSG00000005381.9_MPO(-),EBOX,1574,1585,-,10.7967,8.08e-05,0.63,578.5,,
ENSG00000005421,ENSG00000005421_PON1,ENSG00000005421.10_PON1(-),EBOX,1791,1802,-,10.4472,9.92e-05,0.63,795.5,,
ENSG00000005436,ENSG00000005436_GCFC2,ENSG00000005436.15_GCFC2(-),EBOX,1483,1494,-,11.561,4.99e-05,0.63,487.5,mid,Neutral
ENSG00000005436,ENSG00000005436_GCFC2,ENSG00000005436.15_GCFC2(-),EBOX,1016,1027,-,11.0976,6.72e-05,0.63,20.5,mid,Neutral
ENSG00000005448,ENSG00000005448_WDR54,ENSG00000005448.18_WDR54(+),TETO,76,94,-,12.91,1.05e-05,1,-916,mid,Neutral
ENSG00000005471,ENSG00000005471_ABCB4,ENSG00000005471.20_ABCB4(-),EBOX,106,117,-,13.2114,1.73e-05,0.607,-889.5,,
ENSG00000005471,ENSG00000005471_ABCB4,ENSG00000005471.20_ABCB4(-),EBOX,106,117,+,11.1138,6.63e-05,0.63,-889.5,,
ENSG00000005471,ENSG00000005471_ABCB4,ENSG00000005471.20_ABCB4(-),TETO,254,272,+,8.895,8.81e-05,1,-738,,
ENSG00000005483,ENSG00000005483_KMT2E,ENSG00000005483.23_KMT2E(+),EBOX,540,551,+,11.7317,4.47e-05,0.63,-455.5,mid,Neutral
ENSG00000005513,ENSG00000005513_SOX8,ENSG00000005513.11_SOX8(+),EBOX,1132,1143,+,14.8211,4.76e-06,0.474,136.5,,
ENSG00000005513,ENSG00000005513_SOX8,ENSG00000005513.11_SOX8(+),EBOX,1132,1143,-,14.1301,9.11e-06,0.531,136.5,,
ENSG00000005513,ENSG00000005513_SOX8,ENSG00000005513.11_SOX8(+),EBOX,1545,1556,-,13.6179,1.33e-05,0.57,549.5,,
ENSG00000005882,ENSG00000005882_PDK2,ENSG00000005882.13_PDK2(+),EBOX,1482,1493,+,15.9268,9.51e-07,0.344,486.5,mid,Neutral
ENSG00000005882,ENSG00000005882_PDK2,ENSG00000005882.13_PDK2(+),EBOX,1482,1493,-,11.7317,4.47e-05,0.63,486.5,mid,Neutral
ENSG00000005884,ENSG00000005884_ITGA3,ENSG00000005884.19_ITGA3(+),TETO,1004,1022,+,9.53,6.26e-05,1,12,head,Neutral
ENSG00000005884,ENSG00000005884_ITGA3,ENSG00000005884.19_ITGA3(+),TETO,1580,1598,-,8.995,8.32e-05,1,588,head,Neutral
ENSG00000005893,ENSG00000005893_LAMP2,ENSG00000005893.18_LAMP2(-),TETO,432,450,-,11.275,2.61e-05,1,-560,head,Neutral
ENSG00000005893,ENSG00000005893_LAMP2,ENSG00000005893.18_LAMP2(-),TETO,899,917,+,10.4,4.17e-05,1,-93,head,Neutral
ENSG00000005961,ENSG00000005961_ITGA2B,ENSG00000005961.20_ITGA2B(-),EBOX,284,295,+,11.0569,6.92e-05,0.63,-711.5,tail,Neutral
ENSG00000005961,ENSG00000005961_ITGA2B,ENSG00000005961.20_ITGA2B(-),EBOX,284,295,-,11.0244,7.04e-05,0.63,-711.5,tail,Neutral
ENSG00000005961,ENSG00000005961_ITGA2B,ENSG00000005961.20_ITGA2B(-),TETO,1944,1962,+,8.83,9.14e-05,1,952,tail,Neutral
ENSG00000005961,ENSG00000005961_ITGA2B,ENSG00000005961.20_ITGA2B(-),TETO,1944,1962,-,8.83,9.14e-05,1,952,tail,Neutral
ENSG00000006007,ENSG00000006007_GDE1,ENSG00000006007.13_GDE1(-),EBOX,1156,1167,-,10.878,7.7e-05,0.63,160.5,mid,Neutral
ENSG00000006015,ENSG00000006015_REX1BD,ENSG00000006015.19_REX1BD(+),EBOX,1951,1962,+,16.7317,1.59e-07,0.305,955.5,mid,Neutral
ENSG00000006015,ENSG00000006015_REX1BD,ENSG00000006015.19_REX1BD(+),EBOX,1951,1962,-,12.6341,2.48e-05,0.63,955.5,mid,Neutral
ENSG00000006015,ENSG00000006015_REX1BD,ENSG00000006015.19_REX1BD(+),EBOX,1779,1790,+,11.0894,6.75e-05,0.63,783.5,mid,Neutral
ENSG00000006015,ENSG00000006015_REX1BD,ENSG00000006015.19_REX1BD(+),TETO,1296,1314,-,8.705,9.8e-05,1,304,mid,Neutral
ENSG00000006016,ENSG00000006016_CRLF1,ENSG00000006016.13_CRLF1(-),TETO,210,228,+,9.08,7.94e-05,1,-782,,
ENSG00000006042,ENSG00000006042_TMEM98,ENSG00000006042.13_TMEM98(+),TETO,1545,1563,-,11.155,2.82e-05,1,553,mid,Down
ENSG00000006047,ENSG00000006047_YBX2,ENSG00000006047.14_YBX2(-),EBOX,826,837,-,13.5528,1.38e-05,0.572,-169.5,mid,Neutral
ENSG00000006047,ENSG00000006047_YBX2,ENSG00000006047.14_YBX2(-),EBOX,826,837,+,11.3659,5.66e-05,0.63,-169.5,mid,Neutral
ENSG00000006047,ENSG00000006047_YBX2,ENSG00000006047.14_YBX2(-),EBOX,715,726,-,10.8943,7.59e-05,0.63,-280.5,mid,Neutral
ENSG00000006062,ENSG00000006062_MAP3K14,ENSG00000006062.19_MAP3K14(-),EBOX,1858,1869,+,10.8293,7.92e-05,0.63,862.5,mid,Neutral
ENSG00000006062,ENSG00000006062_MAP3K14,ENSG00000006062.19_MAP3K14(-),EBOX,364,375,+,10.4472,9.92e-05,0.63,-631.5,mid,Neutral
ENSG00000006071,ENSG00000006071_ABCC8,ENSG00000006071.16_ABCC8(-),TETO,49,67,+,10.68,3.65e-05,1,-943,,
ENSG00000006118,ENSG00000006118_TMEM132A,ENSG00000006118.15_TMEM132A(+),EBOX,967,978,+,11.813,4.25e-05,0.63,-28.5,mid,Neutral
ENSG00000006118,ENSG00000006118_TMEM132A,ENSG00000006118.15_TMEM132A(+),EBOX,1078,1089,-,10.4472,9.92e-05,0.63,82.5,mid,Neutral
ENSG00000006125,ENSG00000006125_AP2B1,ENSG00000006125.19_AP2B1(+),TETO,692,710,+,9.74,5.66e-05,1,-300,head,Neutral
ENSG00000006125,ENSG00000006125_AP2B1,ENSG00000006125.19_AP2B1(+),TETO,692,710,-,9.74,5.66e-05,1,-300,head,Neutral
ENSG00000006128,ENSG00000006128_TAC1,ENSG00000006128.13_TAC1(+),EBOX,969,980,-,11.3252,5.8e-05,0.63,-26.5,,
ENSG00000006194,ENSG00000006194_ZNF263,ENSG00000006194.12_ZNF263(+),EBOX,1871,1882,+,12.3252,3.05e-05,0.63,875.5,mid,Neutral
ENSG00000006194,ENSG00000006194_ZNF263,ENSG00000006194.12_ZNF263(+),EBOX,187,198,-,10.8943,7.59e-05,0.63,-808.5,mid,Neutral
ENSG00000006194,ENSG00000006194_ZNF263,ENSG00000006194.12_ZNF263(+),EBOX,34,45,+,10.6098,9.05e-05,0.63,-961.5,mid,Neutral
ENSG00000006282,ENSG00000006282_SPATA20,ENSG00000006282.23_SPATA20(+),EBOX,1096,1107,-,11.9268,3.95e-05,0.63,100.5,mid,Neutral
ENSG00000006282,ENSG00000006282_SPATA20,ENSG00000006282.23_SPATA20(+),EBOX,1096,1107,+,10.4797,9.72e-05,0.63,100.5,mid,Neutral
ENSG00000006283,ENSG00000006283_CACNA1G,ENSG00000006283.18_CACNA1G(+),EBOX,140,151,+,14.1951,8.68e-06,0.525,-855.5,,
ENSG00000006283,ENSG00000006283_CACNA1G,ENSG00000006283.18_CACNA1G(+),EBOX,140,151,-,11.6098,4.84e-05,0.63,-855.5,,
ENSG00000006327,ENSG00000006327_TNFRSF12A,ENSG00000006327.15_TNFRSF12A(+),EBOX,449,460,-,10.626,8.98e-05,0.63,-546.5,mid,Down
ENSG00000006453,ENSG00000006453_BAIAP2L1,ENSG00000006453.15_BAIAP2L1(-),EBOX,47,58,+,12.2114,3.29e-05,0.63,-948.5,mid,Down
ENSG00000006453,ENSG00000006453_BAIAP2L1,ENSG00000006453.15_BAIAP2L1(-),EBOX,47,58,-,11.4959,5.22e-05,0.63,-948.5,mid,Down
ENSG00000006453,ENSG00000006453_BAIAP2L1,ENSG00000006453.15_BAIAP2L1(-),EBOX,1210,1221,-,10.7154,8.47e-05,0.63,214.5,mid,Down
ENSG00000006468,ENSG00000006468_ETV1,ENSG00000006468.16_ETV1(-),EBOX,648,659,+,12.9512,2.03e-05,0.63,-347.5,tail,Down
ENSG00000006468,ENSG00000006468_ETV1,ENSG00000006468.16_ETV1(-),EBOX,845,856,+,12.2276,3.25e-05,0.63,-150.5,tail,Down
ENSG00000006468,ENSG00000006468_ETV1,ENSG00000006468.16_ETV1(-),EBOX,648,659,-,10.6585,8.8e-05,0.63,-347.5,tail,Down
ENSG00000006468,ENSG00000006468_ETV1,ENSG00000006468.16_ETV1(-),EBOX,845,856,-,10.6341,8.92e-05,0.63,-150.5,tail,Down
ENSG00000006534,ENSG00000006534_ALDH3B1,ENSG00000006534.18_ALDH3B1(+),EBOX,51,62,+,14.8455,4.69e-06,0.474,-944.5,mid,Neutral
ENSG00000006534,ENSG00000006534_ALDH3B1,ENSG00000006534.18_ALDH3B1(+),EBOX,1466,1477,-,13.0325,1.94e-05,0.625,470.5,mid,Neutral
ENSG00000006534,ENSG00000006534_ALDH3B1,ENSG00000006534.18_ALDH3B1(+),EBOX,992,1003,+,12.252,3.2e-05,0.63,-3.5,mid,Neutral
ENSG00000006534,ENSG00000006534_ALDH3B1,ENSG00000006534.18_ALDH3B1(+),EBOX,1466,1477,+,10.8537,7.81e-05,0.63,470.5,mid,Neutral
ENSG00000006534,ENSG00000006534_ALDH3B1,ENSG00000006534.18_ALDH3B1(+),EBOX,1987,1998,+,10.4959,9.61e-05,0.63,991.5,mid,Neutral
ENSG00000006555,ENSG00000006555_TTC22,ENSG00000006555.12_TTC22(-),TETO,242,260,+,10.055,4.89e-05,1,-750,mid,Neutral
ENSG00000006606,ENSG00000006606_CCL26,ENSG00000006606.9_CCL26(-),TETO,105,123,+,8.83,9.14e-05,1,-887,,
ENSG00000006606,ENSG00000006606_CCL26,ENSG00000006606.9_CCL26(-),TETO,105,123,-,8.83,9.14e-05,1,-887,,
ENSG00000006607,ENSG00000006607_FARP2,ENSG00000006607.15_FARP2(+),EBOX,1145,1156,-,11.9837,3.78e-05,0.63,149.5,mid,Neutral
